maker	keyword	brand	series	collaboration	priority
ark	titan	MSI	Titan		100
ark	prestige	MSI	Prestige		100
ark	creator	MSI	Creator		100
ark	asrock	ASRock	ASRock		100
ark	founders edition	NVIDIA	Founders Edition		100
ark	arkhive	arkhive	arkhive		100
ark	arkhive gaming	arkhive	arkhive Gaming		100
ark	arkhive gaming custom	arkhive	arkhive Gaming Custom		100
ark	arkhive gaming alliance	arkhive	arkhive Gaming Alliance		100
ark	arkhive gaming limited	arkhive	arkhive Gaming Limited		100
ark	arkhive business	arkhive	arkhive Business		100
ark	arkhive business custom	arkhive	arkhive Business Custom		100
ark	arkhive business limited	arkhive	arkhive Business Limited		100
ark	arkhive business alternate	arkhive	arkhive Business Alternate		100
ark	arkhive creator	arkhive	arkhive Creator		100
ark	arkhive creator custom	arkhive	arkhive Creator Custom		100
ark	arkhive creator limited	arkhive	arkhive Creator Limited		100
ark	arkhive gaming alternate	arkhive	arkhive Gaming Alternate		100
ark	gaming custom		Gaming Custom		90
ark	gaming alliance		Gaming Alliance		90
ark	gaming limited		Gaming Limited		90
ark	gigabyte ゲーミングノート	GIGABYTE	GIGABYTE Gaming Note		100
ark	aero x16	GIGABYTE	AERO X16		100
ark	msi prestige	MSI	MSI Prestige		100
ark	msi modern	MSI	MSI Modern		100
ark	msi venture	MSI	MSI Venture		100
ark	msi ゲーミングノート	MSI	MSI Gaming Note		100
mouse	A4	mouse	A4		200
mouse	A5	mouse	A5		200
mouse	B4	mouse	B4		200
mouse	B5	mouse	B5		200
mouse	CA	mouse	CA		200
mouse	F7	mouse	F7		200
mouse	K5	mouse	K5		200
mouse	K7	mouse	K7		200
mouse	K8	mouse	K8		200
mouse	M0	mouse	M0		200
mouse	M2	mouse	M2		200
mouse	MH	mouse	MH		200
mouse	SH	mouse	SH		200
mouse	X4	mouse	X4		200
mouse	G TUNE	G-TUNE	G TUNE		200
mouse	NEXTGEAR	NEXTGEAR	NEXTGEAR	200
mouse	DAIV	DAIV	DAIV		200
mouse	MousePro	mouse	MousePro		200
mouse	mouse	mouse			200
lavie	nextreme carbon	LAVIE	NEXTREME Carbon		200
lavie	nextreme infinity	LAVIE	NEXTREME Infinity		200
lavie	nextreme	LAVIE	NEXTREME		100
lavie	n13 slim	LAVIE	N13 Slim		200
lavie	n13	LAVIE	N13		100
lavie	n14 slim	LAVIE	N14 Slim		200
lavie	n14	LAVIE	N14		100
lavie	versapro	LAVIE	VersaPro		200
lavie	mate	LAVIE	Mate		200
lavie	lavie tab t11n	LAVIE	LAVIE Tab T11N		200
lavie	lavie tab t12n	LAVIE	LAVIE Tab T12N		200
lavie	lavie tab t10	LAVIE	LAVIE Tab T10		200
lavie	sol	LAVIE	LAVIE SOL		100
lavie	n16	LAVIE	N16		100
lavie	n15	LAVIE	N15		100
lavie	n16(r)	LAVIE	N16(R)		100
lavie	n15(r)	LAVIE	N15(R)		100
lavie	n15 slim	LAVIE	N15 Slim		200
lavie	a23	LAVIE	A23		100
lavie	a27	LAVIE	A27		100
lavie	dt slim	LAVIE	DT Slim		200
lavie	dt	LAVIE	DT		100
lavie	lavie tab t8	LAVIE	LAVIE Tab T8		200
lavie	lavie tab ex	LAVIE	LAVIE Tab EX		200
lavie	lavie tab t12	LAVIE	LAVIE Tab T12		200
geekom	a5	GEEKOM	A5		100
geekom	a5 pro	GEEKOM	A5 Pro		100
geekom	a6	GEEKOM	A6		100
geekom	a7	GEEKOM	A7		100
geekom	a8	GEEKOM	A8		100
geekom	a9	GEEKOM	A9		100
geekom	ae7	GEEKOM	AE7		100
geekom	air12	GEEKOM	AIR12		100
geekom	air12 lite	GEEKOM	AIR12 Lite		100
geekom	mini air12	GEEKOM	Mini AIR12		100
geekom	it12	GEEKOM	IT12		100
geekom	mini it12	GEEKOM	IT12		100
geekom	it13	GEEKOM	IT13		100
geekom	mini it13	GEEKOM	IT13		100
geekom	gt12	GEEKOM	GT12		100
geekom	nuc gt12	GEEKOM	GT12		100
geekom	gt13	GEEKOM	GT13		100
geekom	nuc gt13	GEEKOM	GT13		100
geekom	gt13 pro	GEEKOM	GT13 Pro		100
geekom	gt13 max	GEEKOM	GT13 MAX		100
geekom	a7 max	GEEKOM	A7 MAX		100
geekom	a8 max	GEEKOM	A8 MAX		100
geekom	a9 max	GEEKOM	A9 MAX		100
geekom	a9 max mini pc	GEEKOM	A9 MAX		100
geekom	nuc a6	GEEKOM	A6		100
geekom	nuc a7	GEEKOM	A7		100
