category,name,price,url,image_url
Peripheral,MSI CLUTCH GM08 有線 4200dpi 6ボタン ゲーミングマウス,2200,https://shop.tsukumo.co.jp/goods/0824142218440/,https://cdn.tsukumo.co.jp/image/item/0824142218440_1.jpg
PSU,MSI MPG A850G PCIE5 【12VHPWR規格対応】,22244,https://shop.tsukumo.co.jp/goods/4526541042232/,https://cdn.tsukumo.co.jp/image/item/4526541042232_1.jpg
Motherboard,MSI MEG Z890 ACE,109000,https://shop.tsukumo.co.jp/goods/4526541055669/,https://cdn.tsukumo.co.jp/image/item/4526541055669_1.jpg
Motherboard,MSI PRO B840M-P WIFI6E,14580,https://shop.tsukumo.co.jp/goods/4711377361804/,https://cdn.tsukumo.co.jp/image/item/4711377361804_1.jpg
Motherboard,MSI MPG B860I EDGE TI WIFI,39800,https://shop.tsukumo.co.jp/goods/4711377350174/,https://cdn.tsukumo.co.jp/image/item/4711377350174_1.jpg
Other,MSI 背面コネクタ,40590,https://shop.tsukumo.co.jp/goods/4711377365284/,https://cdn.tsukumo.co.jp/image/item/4711377365284_1.jpg
Cooler,MSI MAG CORELIQUID E360 WHITE,13981,https://shop.tsukumo.co.jp/goods/4526541047763/,https://cdn.tsukumo.co.jp/image/item/4526541047763_1.jpg
Cooler,MSI MAG CORELIQUID A13 360 WHITE,12570,https://shop.tsukumo.co.jp/goods/4711377276689/,https://cdn.tsukumo.co.jp/image/item/4711377276689_1.jpg
Monitor,MSI MAG-274QRFW 27インチ WQHD(2560x1440) ゲーミングモニター 180Hz 1ms(GTG) RAPID IPS ホワイト,33000,https://shop.tsukumo.co.jp/goods/0406621510018/,https://cdn.tsukumo.co.jp/image/item/0406621510018_1.jpg
Motherboard,MSI PRO B850M-A WIFI PZ,34980,https://shop.tsukumo.co.jp/goods/4711377384308/,https://cdn.tsukumo.co.jp/image/item/4711377384308_1.jpg
Cooler,MSI MAG CORELIQUID A13 240 WHITE,9980,https://shop.tsukumo.co.jp/goods/4711377276672/,https://cdn.tsukumo.co.jp/image/item/4711377276672_1.jpg
Monitor,MSI MPG 325CQRXF 31.5インチ WQHD(2560x1440) ゲーミングモニター 280Hz 0.5ms RapidVA 1000R湾曲パネル,47800,https://shop.tsukumo.co.jp/goods/0406622002017/,https://cdn.tsukumo.co.jp/image/item/0406622002017_1.jpg
PSU,MSI MAG A1000GL PCIE5,19980,https://shop.tsukumo.co.jp/goods/4526541048319/,https://cdn.tsukumo.co.jp/image/item/4526541048319_1.jpg
Monitor,MSI MAG 321CUPDF 31.5インチ ゲーミングモニター 4k 160Hz/FHD 320Hz 0.5ms RapidVAパネル,78001,https://shop.tsukumo.co.jp/goods/0406622043010/,https://cdn.tsukumo.co.jp/image/item/0406622043010_1.jpg
Motherboard,MSI MAG B650M MORTAR WIFI　【PCIe 4.0対応】,29421,https://shop.tsukumo.co.jp/goods/4526541043574/,https://cdn.tsukumo.co.jp/image/item/4526541043574_1.jpg
Notebook,MSI ノートPC Modern-14-H-D2RMG-5429JP [14型 /Core 7 240H /RAM:32GB /SSD:512GB /WUXGA /Windows 11 Home /MS Office H&B /クラシックブラック],143800,https://shop.tsukumo.co.jp/goods/0409090934019/,https://cdn.tsukumo.co.jp/image/item/0409090934019_1.jpg
Motherboard,MSI MPG Z890I EDGE TI WIFI,68918,https://shop.tsukumo.co.jp/goods/4526541056369/,https://cdn.tsukumo.co.jp/image/item/4526541056369_1.jpg
Monitor,MSI PRO MP161 E2 15.6インチ フルHD ポータブルモニター IPSパネル,18800,https://shop.tsukumo.co.jp/goods/0406621449011/,https://cdn.tsukumo.co.jp/image/item/0406621449011_1.jpg
Cooler,MSI MAG CORELIQUID A13 240,9980,https://shop.tsukumo.co.jp/goods/4711377273763/,https://cdn.tsukumo.co.jp/image/item/4711377273763_1.jpg
PSU,MSI MPG A1000G PCIE5 【12VHPWR規格対応】,25608,https://shop.tsukumo.co.jp/goods/4526541042249/,https://cdn.tsukumo.co.jp/image/item/4526541042249_1.jpg
Notebook,MSI ポータブルゲーミングPC Claw-A8-BZ2EM-401JP　[8型 /Ryzen Z2 Extreme /RAM:24GB /SSD:1TB /WUXGA (120Hz) タッチパネル /Windows 11 Home /ブラック&ホワイト],154891,https://shop.tsukumo.co.jp/goods/0409091304019/,https://cdn.tsukumo.co.jp/image/item/0409091304019_1.jpg
Notebook,MSI ゲーミングノート Cyborg-A15-AI-B2HWFKG-2753JP [15.6型 /Ryzen 9 270 /RTX5060 /RAM:32GB /SSD:1TB /フルHD (144Hz) /Windows 11 Home /オデッセイグレイ&スケルトン],215800,https://shop.tsukumo.co.jp/goods/0409091342011/,https://cdn.tsukumo.co.jp/image/item/0409091342011_1.jpg
PSU,MSI MEG Ai1300P PCIE5 【12VHPWR規格対応】,49206,https://shop.tsukumo.co.jp/goods/4526541042133/,https://cdn.tsukumo.co.jp/image/item/4526541042133_1.jpg
Monitor,MSI MPG 491CQP QD-OLED 49インチ DQHD 5120x1440 ゲーミングモニター 144Hz 0.03ms 1800R湾曲パネル,158000,https://shop.tsukumo.co.jp/goods/0406621338018/,https://cdn.tsukumo.co.jp/image/item/0406621338018_1.jpg
